unity_time;FPS
57.700;191.92
57.800;197.63
57.900;193.15
58.000;200.03
58.100;197.10
58.200;197.58
58.300;191.65
58.400;182.13
58.500;193.62
58.600;190.80
58.700;188.73
58.800;178.72
58.900;172.76
59.000;131.68
59.100;122.41
59.200;160.76
59.300;151.68
59.400;157.20
59.500;153.48
59.600;157.84
59.700;193.74
59.800;197.48
59.900;194.71
60.000;191.80
60.100;182.48
60.200;175.62
60.300;175.16
60.400;174.69
60.500;180.64
60.600;169.74
60.700;174.58
60.800;165.05
60.900;156.68
61.000;162.15
61.100;167.63
61.200;166.70
61.300;155.05
61.400;140.36
61.500;142.13
61.600;128.93
61.700;133.80
61.800;134.50
61.900;150.51
62.000;157.15
62.100;165.33
62.200;169.05
62.300;163.54
62.400;156.09
62.500;162.60
62.600;158.98
62.700;163.26
62.800;177.43
62.900;176.25
63.000;175.83
63.100;187.28
63.200;171.52
63.300;168.32
63.400;162.85
63.500;169.52
63.600;170.25
63.700;166.49
63.800;165.91
63.900;162.04
64.000;137.60
64.100;146.79
64.200;148.49
64.300;152.62
64.400;153.91
64.500;163.96
64.600;166.17
64.700;171.98
64.800;173.81
64.900;166.53
65.000;138.00
65.100;129.36
65.200;120.79
65.300;137.59
65.400;124.94
65.500;144.39
65.600;155.10
65.700;159.72
65.800;159.87
65.900;155.76
66.000;152.56
66.100;142.98
66.200;153.32
66.300;156.84
66.400;158.89
66.500;145.58
66.600;157.95
66.700;139.03
66.800;137.70
66.900;132.01
67.000;152.11
67.100;188.61
67.200;161.25
67.300;167.62
67.400;158.12
67.500;161.86
67.600;189.22
67.700;193.00
67.800;199.13
67.900;193.98
68.000;195.94
68.100;194.48
68.200;187.94
68.300;174.12
68.400;185.49
68.500;187.91
68.600;183.09
68.700;197.79
68.800;197.11
68.900;189.50
69.000;189.00
69.100;186.89
69.200;180.26
69.300;170.41
69.400;165.32
69.500;157.80
69.600;159.32
69.700;147.32
69.800;150.40
69.900;144.00
70.000;136.66
70.100;135.76
70.200;127.62
70.300;133.00
70.400;149.08
70.500;166.20
70.600;163.87
70.700;162.40
70.800;166.59
70.900;168.65
71.000;162.31
71.100;174.15
71.200;168.82
71.300;163.65
71.400;164.97
71.500;159.51
71.600;166.27
71.700;170.78
71.800;165.34
71.900;165.09
