Time(s);RTF
59.40;1.01
59.50;1.00
59.60;1.00
59.70;1.03
59.80;0.98
59.90;1.02
60.00;1.00
60.10;1.00
60.20;0.96
60.30;1.02
60.40;1.02
60.50;1.00
60.60;0.99
60.70;0.98
60.80;1.02
60.90;0.96
61.00;1.02
61.10;1.03
61.20;0.99
61.30;0.99
61.40;0.98
61.50;0.99
61.60;0.98
61.70;1.01
61.80;1.04
61.90;0.99
62.00;1.00
62.10;1.02
62.20;1.01
62.30;1.00
62.40;0.98
62.50;1.00
62.60;0.99
62.70;1.01
62.80;1.00
62.90;1.00
63.00;1.00
63.10;1.01
63.20;1.00
63.30;1.00
63.40;0.98
63.50;1.02
63.60;0.97
63.70;1.03
63.80;0.98
63.90;1.00
64.00;0.98
64.10;1.01
64.20;0.96
64.30;1.05
64.40;0.98
64.50;1.01
64.60;1.02
64.70;1.01
64.80;0.98
64.90;1.03
65.00;0.91
65.10;1.04
65.20;0.98
65.30;1.06
65.40;1.00
65.50;0.99
65.60;1.04
65.70;1.00
65.80;1.00
65.90;1.00
66.00;1.00
66.10;0.99
66.20;0.98
66.30;1.01
66.40;1.03
66.50;0.97
66.60;1.01
66.70;1.02
66.80;1.01
66.90;0.92
67.00;1.01
67.10;1.10
67.20;1.00
67.30;0.99
67.40;1.00
67.50;1.01
67.60;0.91
67.70;1.13
67.80;0.98
67.90;1.01
68.00;0.98
68.10;0.88
68.20;1.16
68.30;0.97
68.40;1.05
68.50;0.93
68.60;1.07
68.70;0.99
68.80;1.04
68.90;0.88
69.00;1.02
69.10;0.99
69.20;1.09
69.30;0.98
69.40;0.96
69.50;1.03
69.60;0.99
69.70;1.02
69.80;1.03
69.90;0.93
70.00;0.94
70.10;1.09
70.20;0.94
70.30;0.98
70.40;1.14
70.50;0.97
70.60;1.01
70.70;0.95
70.80;1.06
70.90;0.98
71.00;0.99
71.10;0.98
71.20;1.07
71.30;0.99
71.40;1.01
71.50;0.98
71.60;1.00
71.70;0.96
71.80;1.04
71.90;0.97
72.00;1.09
72.10;1.00
72.20;1.01
72.30;0.96
72.40;1.04
72.50;0.91
72.60;1.01
72.70;0.96
72.80;1.18
72.90;0.97
73.00;1.03
73.10;0.97
73.20;1.04
73.30;0.96
73.40;1.04
73.50;0.99
73.60;1.01
73.70;0.97
73.80;1.03
73.90;0.99
74.00;0.98
74.10;1.00
74.20;1.02
74.30;1.01
74.40;0.97
74.50;1.01
74.60;1.00
74.70;1.00
74.80;1.00
74.90;0.95
75.00;1.06
75.10;0.94
75.20;1.06
75.30;1.00
75.40;0.96
75.50;0.91
75.60;1.09
75.70;1.03
75.80;1.00
75.90;1.00
76.00;1.04
76.10;1.01
76.20;1.01
76.30;1.00
76.40;1.00
76.50;0.99
76.60;1.00
76.70;1.00
